"","id","text","retweetCount","CreatedAt","author.id","author.userName","author.followers","author.following","author.createdAt","isRetweet","date"
"1498946","1656045032573419532","Texas Governor Sends More Migrant-Filled Buses from Border to Sanctuary Cities https://t.co/8BC3WW49GC via @BreitbartNews Yep Round 'em up Head 'em out to a bright future in a sanctuary city",6,"Tue May 09 21:14:38 +0000 2023","1211433900427202561","patgill69033215",32824,31339,"Sun Dec 29 23:49:49 +0000 2019",FALSE,"2023-05-09 14:14:38"
"1498965","1655262675226488832","@LBC @BenKentish The 'leader' of who or what?
- the kippers have no MEPs, no MPs and no Councillors
- they no longer exist as a political party
- Hamilton should emigrate
   ... but to where?
   ... who would take him in?
   ... especially if #30pLee is with him !!!",2,"Sun May 07 17:25:49 +0000 2023","805077676092489728","Brexit_Mistake",13248,10368,"Sat Dec 03 15:54:10 +0000 2016",FALSE,"2023-05-07 10:25:49"
"1499112","1656192687844864000","@ajc272 @Bobstroudsnr @Jan_S_B_459 Oh great, that's exactly what I'd expect. We must get rid of all the main parties, elect a Right Wing, Patriotic party that will stop all immigration and begin a process of repatriation and deportation, we must also make Britain British again.",0,"Wed May 10 07:01:22 +0000 2023","1137368657477230592","HaddrellPaul",4940,5224,"Sat Jun 08 14:39:54 +0000 2019",FALSE,"2023-05-10 00:01:22"
"1499515","1656411332881555456","Asylum-seeking families who cross the U.S. border without authorization will be subject to GPS monitoring and a curfew and will be deported if they fail an initial asylum screening under a new ICE program set to take effect soon. https://t.co/dFpphdyxwJ",2,"Wed May 10 21:30:11 +0000 2023","16664681","latimes",3926563,6746,"Thu Oct 09 11:07:42 +0000 2008",FALSE,"2023-05-10 14:30:11"
"1499537","1656399290707714049","RC Board Chair @LourenaGboeah joined a panel on the successes and challenges of integration and inclusion at the Intergovernmental Consultations on Migration, Asylum and Refugees. Thank you to the US Chairs and planners for this fruitful discussion! #USRAB #IGC @RCUSA_DC https://t.co/z6vIEi5bbA",3,"Wed May 10 20:42:19 +0000 2023","814232620049506304","RefugeeCongress",3176,935,"Wed Dec 28 22:12:39 +0000 2016",FALSE,"2023-05-10 13:42:19"
"1499547","1656398877862363136","@SoleMio_again @BestForBritain If that happened, then a few countries would take the world's refugees.",0,"Wed May 10 20:40:41 +0000 2023","1016022128699891714","Omz2468",12189,10007,"Sun Jul 08 18:12:07 +0000 2018",FALSE,"2023-05-10 13:40:41"
"1499583","1656163886373158912","@WallclimberBB @Anna_Giaritelli Narrator: Collected biometrics would not “spread the word of deterrence”; prosecution and or deportation would.",0,"Wed May 10 05:06:55 +0000 2023","920789748368601088","8USC12",2823,112,"Wed Oct 18 23:12:38 +0000 2017",FALSE,"2023-05-09 22:06:55"
"1499638","1656015168629874698","@WSJ In Chicago, which declared itself a ""sanctuary city"", @LoriLightfoot immediately shipped illegals off to Burr Ridge (which is not a sanctuary city) in buses, where they were put up in ritzy hotels. I wonder who picked up the bill?",0,"Tue May 09 19:15:58 +0000 2023","470472472","mary_shubert",300,353,"Sat Jan 21 20:07:50 +0000 2012",FALSE,"2023-05-09 12:15:58"
"1499655","1656039980425199657","Him and many Indians who died in Green card backlog had their petition approved for &gt;decade. ROW, who applied at same time got their green card and became citizens by now call us cheap labor. Root cause “national origin discrimination” in Employment GC and racist country caps.",12,"Tue May 09 20:54:33 +0000 2023","1189382010046963718","DurbinHypocrite",931,306,"Wed Oct 30 03:22:34 +0000 2019",FALSE,"2023-05-09 13:54:33"
"1499796","1656154164785737728","@AILANational Have you ever think about legal immigrants stuck in  100 years backlog and deportation happen to family due to primary applicants died 
@USCISMediaGA 
@USCIS 
That is humanitarian issue",1,"Wed May 10 04:28:17 +0000 2023","941895343968608257","sentham76569308",202,29,"Sat Dec 16 04:58:44 +0000 2017",FALSE,"2023-05-09 21:28:17"
